teff,logg,logL,age,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,mass,radius,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
9956.0,7.52072,-2.550531,0.425017428,11.945,11.496,11.567,11.701,11.925,0.38444,0.017826958740083537,3018289.906260928,6747968.297094129,2914103.3447851525,1438619.4925325064,706556.7461839247
9838.0,7.52215,-2.572674,0.437930287,11.988,11.541,11.604,11.733,11.951,0.38444,0.017797633502529827,2910656.473128436,6495357.114272499,2825757.8931359723,1401444.6192568808,692113.064835639
9718.0,7.52359,-2.595435,0.451248258,12.034,11.588,11.643,11.767,11.978,0.38444,0.01776815194022513,2799180.8049245514,6240839.785580066,2735110.957324954,1362749.214801531,677356.1017756863
9600.0,7.52501,-2.618076,0.464992395,12.08,11.637,11.683,11.801,12.005,0.38444,0.017739127667574763,2691850.59287793,5984984.548832716,2644812.868878002,1325061.209662239,662883.2532839703
9481.0,7.52642,-2.641156,0.479183427,12.129,11.688,11.725,11.837,12.035,0.38444,0.01771035470288789,2581433.557295079,5728923.638756921,2552730.394358748,1286014.7224299472,646914.7410359288
9366.0,7.52779,-2.663731,0.49384219,12.177,11.738,11.766,11.873,12.063,0.38444,0.017682442695940673,2477598.6251775627,5488365.59933593,2465897.0972739817,1248003.8941102051,632436.6759537021
9250.0,7.52916,-2.686748,0.508983927,12.226,11.789,11.809,11.91,12.093,0.38444,0.017654574679085426,2375751.1674943073,5253068.131158414,2377633.7091592355,1210001.5885076984,617144.7621417576
9134.0,7.53051,-2.710018,0.524624941,12.276,11.842,11.852,11.948,12.124,0.38444,0.017627156458596627,2275888.3428210453,5018374.104839251,2292424.0149199143,1172022.4765165865,601640.4776525676
9020.0,7.53184,-2.733165,0.540783479,12.326,11.894,11.896,11.985,12.154,0.38444,0.01760018607423378,2180122.772465613,4798362.270188507,2208131.5822798195,1136229.1854245116,587039.1254020766
8898.0,7.53325,-2.758231,0.558658622,12.381,11.952,11.943,12.027,12.188,0.38444,0.017571638473591507,2079174.5537627684,4563552.315497958,2121460.497264823,1096669.9424073538,570790.9088698737
8788.0,7.53453,-2.781125,0.575916067,12.432,12.005,11.986,12.065,12.219,0.38444,0.017545763020614932,1989623.7267385358,4358961.50365391,2045101.886729792,1062076.8446269732,556361.4718553348
8682.0,7.53574,-2.803411,0.592499698,12.483,12.056,12.029,12.102,12.25,0.38444,0.017521337667117314,1903623.0348754518,4170547.131589085,1971173.9421331298,1029356.8062090965,542209.4061613152
