wavelength,flux
4677.35,5.71837e-17
4678.43,3.54729e-17
4679.51,4.67257e-17
4680.58,4.11476e-17
4681.66,5.31254e-17
4682.74,3.57122e-17
4683.82,3.21485e-17
4684.90,4.44789e-17
4685.98,4.30057e-17
4687.06,6.44763e-17
4688.13,5.84717e-17
4689.21,5.66249e-17
4690.29,4.79906e-17
4691.37,3.51266e-17
4692.45,4.39177e-17
4693.53,4.02915e-17
4694.62,5.59431e-17
4695.70,5.92450e-17
4696.78,4.75227e-17
4697.86,4.68740e-17
4698.94,4.75453e-17
4700.02,4.61970e-17
4701.10,4.87387e-17
4702.19,5.09743e-17
4703.27,3.92961e-17
4704.35,5.13938e-17
4705.44,3.80437e-17
4706.52,4.87874e-17
4707.61,3.21469e-17
4708.69,5.54455e-17
4709.77,4.43458e-17
4710.86,2.95107e-17
4711.94,5.48635e-17
4713.03,3.53880e-17
4714.11,4.78403e-17
4715.20,4.70579e-17
4716.28,2.44540e-17
4717.37,3.04525e-17
4718.46,3.60041e-17
4719.54,3.97305e-17
4720.63,5.38701e-17
4721.72,3.86979e-17
4722.81,2.49895e-17
4723.89,2.56394e-17
4724.98,4.25960e-17
4726.07,4.55390e-17
4727.16,4.33280e-17
4728.25,4.42370e-17
4729.33,4.78767e-17
4730.42,4.11390e-17
4731.51,4.83879e-17
4732.60,5.00552e-17
4733.69,4.40681e-17
4734.78,5.87278e-17
4735.87,4.95172e-17
4736.96,3.43044e-17
4738.05,4.26327e-17
4739.14,4.30552e-17
4740.24,3.92035e-17
4741.33,4.88207e-17
4742.42,4.59853e-17
4743.51,4.10873e-17
4744.60,5.27129e-17
4745.70,5.23505e-17
4746.79,6.06414e-17
4747.88,3.17367e-17
4748.98,4.95354e-17
4750.07,5.13626e-17
4751.16,5.20335e-17
4752.26,3.93000e-17
4753.35,5.26282e-17
4754.45,4.22351e-17
4755.54,5.37441e-17
4756.64,4.00727e-17
4757.73,3.73536e-17
4758.83,4.60911e-17
4759.92,5.43231e-17
4761.02,4.49861e-17
4762.12,3.06867e-17
4763.21,3.78059e-17
4764.31,4.26226e-17
4765.41,3.57182e-17
4766.50,4.82512e-17
4767.60,5.58836e-17
4768.70,4.29043e-17
4769.80,4.99674e-17
4770.90,4.39706e-17
4771.99,5.85160e-17
4773.10,5.15045e-17
4774.19,3.26842e-17
4775.29,3.96883e-17
4776.39,4.65281e-17
4777.49,4.79823e-17
4778.59,3.65784e-17
4779.69,3.90667e-17
4780.80,4.25317e-17
4781.89,5.32072e-17
4782.99,4.65852e-17
4784.10,4.65638e-17
4785.20,4.62573e-17
4786.30,3.92142e-17
4787.40,4.41207e-17
4788.51,3.33690e-17
4789.61,3.19862e-17
4790.71,4.96434e-17
4791.81,2.71858e-17
4792.92,4.76690e-17
4794.02,4.73487e-17
4795.13,3.77773e-17
4796.23,4.22559e-17
4797.33,4.26726e-17
4798.44,4.32279e-17
4799.54,3.48962e-17
4800.65,4.35932e-17
4801.76,3.87510e-17
4802.86,5.84854e-17
4803.97,5.12196e-17
4805.07,4.29240e-17
4806.18,4.29665e-17
4807.29,4.64875e-17
4808.39,3.31117e-17
4809.50,3.65015e-17
4810.61,3.09417e-17
4811.72,4.50814e-17
4812.82,5.49097e-17
4813.93,4.18516e-17
4815.04,4.62389e-17
4816.15,5.07817e-17
4817.26,4.65708e-17
4818.37,3.12719e-17
4819.48,2.56916e-17
4820.59,3.35586e-17
4821.70,3.09538e-17
4822.81,4.69287e-17
4823.92,4.20851e-17
4825.03,3.64054e-17
4826.14,3.89122e-17
4827.25,3.09452e-17
4828.36,3.49743e-17
4829.48,3.40983e-17
4830.59,4.36015e-17
4831.70,3.99448e-17
4832.81,4.10037e-17
4833.93,2.81906e-17
4835.04,2.90796e-17
4836.15,5.26444e-17
4837.27,3.92569e-17
4838.38,3.67996e-17
4839.49,3.66894e-17
4840.61,2.97024e-17
4841.72,2.74461e-17
4842.84,2.06999e-17
4843.95,3.52742e-17
4845.07,3.03048e-17
4846.19,1.70042e-17
4847.30,3.84412e-17
4848.42,2.93066e-17
4849.53,2.29436e-17
4850.65,3.59306e-17
4851.77,2.71461e-17
4852.89,1.84833e-17
4854.00,2.40605e-17
4855.12,1.66499e-17
4856.24,3.05282e-17
4857.36,1.48183e-17
4858.48,2.24123e-17
4859.59,2.69839e-17
4860.71,1.44255e-17
4861.83,2.33880e-17
4862.95,1.35656e-17
